bucketized_user_age,movie_genres,movie_id,movie_title,raw_user_age,timestamp,user_gender,user_id,user_occupation_label,user_occupation_text,user_rating,user_zip_code
18.0,0,9619,Dante's Peak,22.0,883702447,True,502,17,student,4.0,23092
1.0,3,10603,George of the Jungle,7.0,875058280,True,30,17,student,4.0,55436
35.0,7,687,Dead Man Walking,42.0,879694232,False,390,21,writer,5.0,85016
25.0,0,9331,Clear and Present Danger,26.0,891721815,True,94,17,student,2.0,71457
18.0,0,562,Die Hard,21.0,875962991,True,715,18,technician,5.0,91206
25.0,7,1024,Heavenly Creatures,34.0,875039204,True,833,21,writer,4.0,90019
25.0,2,12155,Alice in Wonderland,27.0,879648452,False,417,11,other,4.0,48103
18.0,7,489,Good Will Hunting,22.0,884485798,False,711,17,student,5.0,15203
35.0,0,9268,Eraser,36.0,877655145,True,386,14,salesman,3.0,43221
18.0,19,288,High Noon,21.0,876067001,False,496,17,student,3.0,55414
25.0,0,607,Men in Black,30.0,892686220,True,676,12,programmer,5.0,32712
18.0,7,8963,Crimson Tide,21.0,884207897,False,198,17,student,3.0,55414
18.0,16,5,Four Rooms,24.0,892790676,True,472,17,student,5.0,87544
35.0,0,4421,G.I. Jane,43.0,891489450,False,856,14,marketing,2.0,97215
25.0,7,103,Taxi Driver,26.0,892668130,False,214,10,librarian,5.0,11231
18.0,0,329,Jurassic Park,18.0,881654269,True,347,17,student,5.0,90210
25.0,1,2300,Space Jam,25.0,882622373,True,697,11,other,3.0,77042
25.0,7,1585,It's a Wonderful Life,25.0,882592314,True,622,12,programmer,4.0,14850
45.0,0,578,Jaws,45.0,876695627,True,638,18,engineer,4.0,01940
18.0,3,601,E.T. the Extra-Terrestrial,20.0,875216978,True,130,11,none,5.0,60115
35.0,0,329,Jurassic Park,44.0,886472767,True,254,0,educator,4.0,42647
25.0,4,3034,Young Frankenstein,25.0,880888746,True,394,2,administrator,5.0,96819
25.0,5,9437,Kiss the Girls,26.0,889491768,True,663,11,other,4.0,19341
1.0,7,125052,Hurricane Streets,14.0,888180081,False,206,17,student,1.0,53115
35.0,0,9360,Anaconda,44.0,880314029,True,666,2,administrator,3.0,61820
25.0,0,1637,Speed,32.0,881957147,True,28,21,writer,4.0,55369
56.0,0,664,Twister,57.0,884646314,True,396,18,engineer,4.0,94551
25.0,0,89,Indiana Jones and the Last Crusade,33.0,875721967,True,543,15,scientist,3.0,95123
35.0,0,75,Mars Attacks!,35.0,882153668,False,256,11,none,3.0,39042
18.0,1,947,Lawrence of Arabia,24.0,880178183,True,889,18,technician,4.0,78704
35.0,0,414,Batman Forever,39.0,876539091,True,881,14,marketing,2.0,43017
45.0,7,9746,Kundun,47.0,888279677,True,13,0,educator,5.0,29206
25.0,3,601,E.T. the Extra-Terrestrial,27.0,881368310,True,913,17,student,3.0,76201
18.0,7,62,2001: A Space Odyssey,23.0,886323189,True,305,12,programmer,3.0,94086
25.0,7,183894,Emma,33.0,879987362,True,243,0,educator,3.0,60201
18.0,6,14275,Hoop Dreams,24.0,888625785,True,73,17,student,2.0,41850
35.0,5,769,GoodFellas,35.0,891034767,True,667,10,librarian,5.0,01970
25.0,7,62,2001: A Space Odyssey,27.0,892054707,True,645,12,programmer,5.0,53211
45.0,0,11,Star Wars,48.0,891478140,True,325,18,technician,5.0,02139
35.0,0,329,Jurassic Park,39.0,876538286,True,881,14,marketing,5.0,43017
18.0,16,9691,Assassins,23.0,888521047,True,682,12,programmer,3.0,55128
18.0,7,1578,Raging Bull,24.0,879370150,True,641,17,student,4.0,60626
35.0,0,193,Star Trek: Generations,35.0,880333695,True,378,17,student,3.0,02859
18.0,3,9598,Babe,20.0,884486856,False,679,17,student,2.0,54302
50.0,0,1572,Die Hard: With a Vengeance,54.0,879196445,False,562,2,administrator,4.0,20879
18.0,0,8834,Conspiracy Theory,23.0,889237455,True,3,21,writer,5.0,32067
35.0,4,639,When Harry Met Sally...,40.0,887838450,False,504,21,writer,4.0,92115
25.0,0,8068,Desperado,27.0,881694885,False,805,11,other,5.0,20009
18.0,0,199,Star Trek: First Contact,22.0,883347919,True,501,17,student,4.0,10025
18.0,0,765,Evil Dead II,24.0,875309801,True,268,18,engineer,3.0,19422
50.0,4,11302,Bananas,52.0,880131642,True,406,0,educator,1.0,93109
25.0,7,62,2001: A Space Odyssey,33.0,886480288,True,387,5,entertainment,5.0,37412
18.0,0,197,Braveheart,19.0,886987826,True,110,17,student,4.0,77840
18.0,0,11967,Young Guns,21.0,875964905,True,715,18,technician,4.0,91206
25.0,0,10428,Hackers,27.0,879649448,False,417,11,other,3.0,48103
18.0,7,62,2001: A Space Odyssey,24.0,875072404,True,1,18,technician,4.0,85711
25.0,7,16633,Somewhere in Time,31.0,888193541,True,871,6,executive,3.0,44648
35.0,0,168,Star Trek IV: The Voyage Home,42.0,891310444,True,766,11,other,3.0,10960
25.0,1,9279,Jingle All the Way,31.0,880153378,True,653,6,executive,2.0,55105
35.0,0,568,Apollo 13,44.0,880165411,False,389,21,writer,4.0,83702
18.0,0,8012,Get Shorty,22.0,890285034,True,466,17,student,3.0,90804
25.0,4,4380,Shall We Dance?,27.0,876521678,True,286,17,student,5.0,15217
25.0,0,18550,Fled,32.0,874775406,True,119,12,programmer,5.0,67401
35.0,7,783,Gandhi,39.0,891448502,True,643,15,scientist,3.0,55122
35.0,0,319,True Romance,35.0,887660650,False,450,0,educator,4.0,11758
25.0,7,424,Schindler's List,28.0,875293386,True,468,18,engineer,5.0,02341
18.0,0,766,Army of Darkness,22.0,880245056,True,216,18,engineer,4.0,02215
18.0,7,9819,Marvin's Room,19.0,879485203,True,303,17,student,4.0,14853
25.0,0,9208,Broken Arrow,26.0,891723296,True,94,17,student,3.0,71457
18.0,7,9390,Jerry Maguire,22.0,882912385,False,917,17,student,5.0,20006
25.0,0,89,Indiana Jones and the Last Crusade,34.0,888451665,True,600,12,programmer,4.0,02320
35.0,0,12123,Chain Reaction,36.0,885141260,True,546,6,executive,5.0,22911
45.0,10,4232,Scream,48.0,889943851,False,463,4,healthcare,1.0,75218
25.0,7,4584,Sense and Sensibility,28.0,875972219,True,770,17,student,5.0,14216
25.0,5,769,GoodFellas,30.0,876266775,True,402,18,engineer,5.0,95129
25.0,0,578,Jaws,28.0,884991831,False,345,10,librarian,4.0,94143
35.0,1,581,Dances with Wolves,40.0,887832760,False,504,21,writer,4.0,92115
45.0,0,89,Indiana Jones and the Last Crusade,45.0,876695478,True,638,18,engineer,4.0,01940
25.0,12,872,Singin' in the Rain,30.0,877974905,True,670,18,technician,5.0,21114
18.0,1,149,Akira,24.0,875309232,True,268,18,engineer,3.0,19422
18.0,0,85,Raiders of the Lost Ark,20.0,888359866,True,332,17,student,5.0,40504
25.0,3,9598,Babe,26.0,891628323,False,253,10,librarian,4.0,22903
18.0,0,607,Men in Black,19.0,891550005,False,223,17,student,4.0,47906
50.0,1,947,Lawrence of Arabia,53.0,877888877,True,10,9,lawyer,4.0,90703
35.0,0,199,Star Trek: First Contact,35.0,875350913,True,738,18,technician,4.0,95403
50.0,2,756,Fantasia,52.0,879793081,True,406,0,educator,5.0,93109
25.0,4,114,Pretty Woman,34.0,874950316,True,346,11,other,3.0,76059
35.0,0,193,Star Trek: Generations,41.0,893080442,False,807,4,healthcare,4.0,93555
45.0,4,703,Annie Hall,48.0,891294063,True,488,18,technician,2.0,21012
50.0,7,10858,Nixon,51.0,891415512,True,548,21,writer,3.0,95468
25.0,4,639,When Harry Met Sally...,31.0,879821120,True,315,0,educator,4.0,18301
25.0,7,451,Leaving Las Vegas,32.0,874775262,True,119,12,programmer,2.0,67401
25.0,0,8834,Conspiracy Theory,25.0,879211479,True,689,11,other,5.0,45439
35.0,0,193,Star Trek: Generations,39.0,876538763,True,881,14,marketing,4.0,43017
35.0,1,184315,Hercules,40.0,880473630,True,290,18,engineer,4.0,93550
25.0,0,152,Star Trek: The Motion Picture,25.0,885075476,True,746,18,engineer,1.0,19047
18.0,7,1578,Raging Bull,22.0,884132015,True,493,18,engineer,3.0,60090
18.0,7,2054,Mr. Holland's Opus,21.0,877722001,True,16,5,entertainment,5.0,10309
18.0,16,1598,Cape Fear,20.0,876699488,False,416,17,student,3.0,92626
18.0,1,235,Stand by Me,21.0,877107996,True,868,12,programmer,4.0,55303
25.0,0,664,Twister,33.0,878846841,True,749,11,other,3.0,80919
50.0,4,9716,Everyone Says I Love You,50.0,888685879,False,655,4,healthcare,3.0,60657
35.0,0,197,Braveheart,38.0,882359863,True,536,18,engineer,5.0,30078
1.0,0,9770,Mad City,17.0,889289353,True,863,17,student,3.0,60089
25.0,7,686,Contact,25.0,879302461,True,862,6,executive,5.0,13820
18.0,0,348,Alien,24.0,884132619,True,435,18,engineer,5.0,60007
25.0,7,2255,Chasing Amy,32.0,891544952,True,334,10,librarian,4.0,30002
18.0,0,2320,Executive Decision,19.0,879485089,True,303,17,student,1.0,14853
25.0,4,11363,She's the One,32.0,893047288,False,796,21,writer,2.0,33755
50.0,15,68,Brazil,53.0,877888677,True,10,9,lawyer,3.0,90703
1.0,7,687,Dead Man Walking,17.0,876190235,True,761,17,student,2.0,97302
18.0,0,9516,Menace II Society,22.0,884131143,True,493,18,engineer,3.0,60090
18.0,0,597,Titanic,22.0,887744167,True,327,17,student,4.0,11101
18.0,0,9772,Air Force One,23.0,888065577,False,49,17,student,1.0,76111
25.0,16,5,Four Rooms,26.0,889492614,True,663,11,other,4.0,19341
35.0,4,10478,Tin Cup,44.0,879535129,False,733,11,other,2.0,60630
35.0,13,66,Absolute Power,40.0,877910629,True,792,12,programmer,2.0,12205
18.0,4,9304,Multiplicity,19.0,876974379,True,68,17,student,1.0,22904
25.0,0,197,Braveheart,27.0,877532889,True,286,17,student,4.0,15217
35.0,7,8818,Evita,42.0,893286260,True,683,10,librarian,4.0,23509
35.0,4,703,Annie Hall,38.0,879449110,True,615,0,educator,5.0,27705
25.0,1,8839,Casper,29.0,888636216,True,495,18,engineer,3.0,03052
56.0,7,14585,In the Company of Men,70.0,874967063,False,860,13,retired,4.0,48322
1.0,7,8818,Evita,17.0,879735177,False,904,17,student,5.0,61073
18.0,7,279,Amadeus,21.0,877107143,True,868,12,programmer,3.0,55303
50.0,0,9516,Menace II Society,51.0,879216529,False,65,0,educator,4.0,48118
25.0,0,766,Army of Darkness,25.0,882592103,True,622,12,programmer,5.0,14850
35.0,0,568,Apollo 13,36.0,880395698,True,374,6,executive,5.0,78746
45.0,0,679,Aliens,46.0,874873892,True,506,12,programmer,5.0,03869
50.0,0,9400,Set It Off,51.0,885049084,True,328,2,administrator,3.0,06779
25.0,2,756,Fantasia,27.0,880140854,False,437,11,other,3.0,20009
25.0,16,38153,Shadow Conspiracy,26.0,878961781,True,181,6,executive,1.0,21218
18.0,7,686,Contact,23.0,891887440,True,448,5,entertainment,4.0,10021
50.0,7,62,2001: A Space Odyssey,53.0,877889004,True,10,9,lawyer,5.0,90703
18.0,5,6071,Kiss of Death,23.0,879858003,True,135,17,student,3.0,38401
35.0,0,664,Twister,41.0,892529713,False,807,4,healthcare,4.0,93555
35.0,4,10806,In & Out,38.0,875707721,True,319,12,programmer,4.0,22030
25.0,4,16448,Waiting for Guffman,34.0,889489522,True,675,11,other,4.0,28814
25.0,3,601,E.T. the Extra-Terrestrial,27.0,881698175,False,805,11,other,1.0,20009
50.0,7,9587,Little Women,51.0,885046718,True,328,2,administrator,4.0,06779
35.0,0,9772,Air Force One,41.0,891400280,True,39,5,entertainment,3.0,01040
45.0,10,4232,Scream,47.0,882396790,True,13,0,educator,1.0,29206
25.0,2,150689,Cinderella,32.0,875653769,True,92,5,entertainment,3.0,80525
25.0,7,3595,Ransom,26.0,875242852,True,703,0,educator,3.0,49512
25.0,0,579,Jaws 2,28.0,887161564,True,896,21,writer,3.0,91505
35.0,0,642,Butch Cassidy and the Sundance Kid,37.0,891227299,False,613,14,marketing,5.0,29678
18.0,7,3595,Ransom,22.0,883391146,True,442,17,student,3.0,85282
25.0,7,11062,City Hall,27.0,876243465,False,764,0,educator,3.0,62903
18.0,7,4995,Boogie Nights,21.0,880574827,False,324,17,student,5.0,02176
25.0,7,4476,Legends of the Fall,27.0,885156193,True,790,18,technician,3.0,80913
35.0,1,36355,Flipper,44.0,886473631,True,254,0,educator,2.0,42647
18.0,1,173,"20,000 Leagues Under the Sea",18.0,886568744,False,642,17,student,4.0,95521
18.0,7,627,Trainspotting,19.0,876973917,True,68,17,student,5.0,22904
25.0,7,9390,Jerry Maguire,27.0,884140307,True,201,21,writer,4.0,E2A4H
56.0,4,114,Pretty Woman,56.0,884637128,True,524,0,educator,2.0,02159
25.0,2,756,Fantasia,30.0,881258945,True,795,12,programmer,3.0,08610
35.0,4,137,Groundhog Day,38.0,879394264,True,233,18,engineer,5.0,98682
25.0,6,14275,Hoop Dreams,25.0,891018550,True,741,21,writer,4.0,63108
35.0,7,686,Contact,39.0,891271308,False,79,2,administrator,5.0,03755
35.0,10,4232,Scream,38.0,891354203,False,938,18,technician,5.0,55038
1.0,0,199,Star Trek: First Contact,14.0,881378153,False,887,17,student,3.0,27249
35.0,4,105,Back to the Future,44.0,880139090,True,666,2,administrator,3.0,61820
50.0,0,4421,G.I. Jane,50.0,891919458,False,909,0,educator,4.0,53171
25.0,0,597,Titanic,32.0,891405651,False,356,8,homemaker,5.0,92688
18.0,5,819,Sleepers,24.0,884132990,True,435,18,engineer,5.0,60007
45.0,7,10705,Henry V,48.0,891376046,True,488,18,technician,5.0,21012
35.0,7,279,Amadeus,36.0,882843272,False,786,18,engineer,4.0,01754
45.0,0,319,True Romance,46.0,880117163,False,629,11,other,4.0,44224
18.0,7,16633,Somewhere in Time,20.0,884673724,False,921,17,student,4.0,98801
25.0,13,4174,Spellbound,27.0,881975182,True,758,17,student,5.0,53706
56.0,4,788,Mrs. Doubtfire,65.0,884497449,True,318,13,retired,5.0,06518
18.0,0,1892,Return of the Jedi,22.0,889069878,True,217,11,other,1.0,11727
35.0,7,627,Trainspotting,35.0,891032856,True,339,9,lawyer,5.0,37901
35.0,0,954,Mission: Impossible,43.0,879441586,False,89,2,administrator,3.0,68106
18.0,2,862,Toy Story,20.0,880126083,True,117,17,student,4.0,16125
25.0,0,152,Star Trek: The Motion Picture,25.0,882592850,True,622,12,programmer,2.0,14850
56.0,3,9598,Babe,57.0,891351328,True,7,2,administrator,5.0,91344
18.0,0,174,Star Trek VI: The Undiscovered Country,21.0,883428178,False,705,17,student,4.0,54494
25.0,7,628,Interview with the Vampire,25.0,883712282,True,727,17,student,2.0,78741
35.0,0,157,Star Trek III: The Search for Spock,35.0,875351906,True,738,18,technician,3.0,95403
45.0,7,279,Amadeus,46.0,891032847,False,401,4,healthcare,4.0,84107
18.0,0,8831,Timecop,22.0,889070011,True,217,11,other,4.0,11727
18.0,16,1598,Cape Fear,20.0,891497174,True,363,17,student,2.0,87501
25.0,0,9387,Conan the Barbarian,33.0,884556545,True,279,12,programmer,4.0,85251
35.0,7,8818,Evita,36.0,888633197,True,874,15,scientist,4.0,37076
35.0,0,607,Men in Black,39.0,891204056,True,840,1,artist,3.0,55406
35.0,0,33542,Rumble in the Bronx,37.0,879436242,True,310,0,educator,4.0,91711
18.0,3,771,Home Alone,18.0,877561956,True,453,17,student,4.0,06333
35.0,0,157,Star Trek III: The Search for Spock,35.0,891436469,True,215,12,programmer,3.0,63033
25.0,0,9619,Dante's Peak,31.0,884651894,False,687,4,healthcare,2.0,27713
50.0,5,769,GoodFellas,53.0,877888876,True,10,9,lawyer,5.0,90703
25.0,0,9331,Clear and Present Danger,30.0,881107821,True,42,2,administrator,5.0,17870
18.0,4,10218,Swingers,24.0,881371453,True,456,18,technician,4.0,31820
18.0,7,12498,Sling Blade,23.0,885807235,True,561,18,engineer,4.0,60005
25.0,4,522,Ed Wood,28.0,883364392,True,476,17,student,3.0,60440
25.0,0,8009,Highlander,26.0,882827400,True,178,11,other,4.0,49512
45.0,0,9619,Dante's Peak,49.0,891692168,True,883,10,librarian,5.0,50266
50.0,4,639,When Harry Met Sally...,50.0,880869135,False,878,0,educator,4.0,98027
25.0,4,9304,Multiplicity,31.0,875270764,True,145,5,entertainment,3.0,V3N4P
35.0,0,744,Top Gun,40.0,891988824,True,918,15,scientist,1.0,70116
35.0,7,1585,It's a Wonderful Life,41.0,891298218,True,263,12,programmer,5.0,55346
35.0,0,85,Raiders of the Lost Ark,42.0,891369479,True,650,18,engineer,4.0,83814
18.0,10,4233,Scream 2,18.0,889964202,False,507,21,writer,5.0,28450
25.0,5,9366,Donnie Brasco,25.0,886922069,True,595,12,programmer,4.0,31909
35.0,4,11971,Much Ado About Nothing,35.0,885490812,True,452,2,administrator,3.0,28018
18.0,19,33,Unforgiven,24.0,882426508,True,567,5,entertainment,4.0,10003
18.0,0,1892,Return of the Jedi,21.0,876106206,True,725,17,student,4.0,91711
25.0,19,288,High Noon,28.0,887158384,True,896,21,writer,4.0,91505
35.0,7,31174,Richard III,43.0,884196605,False,296,2,administrator,2.0,16803
18.0,0,597,Titanic,19.0,885700778,False,258,17,student,5.0,77801
18.0,4,9304,Multiplicity,20.0,877808361,True,534,17,student,4.0,05464
1.0,7,687,Dead Man Walking,14.0,881378118,False,887,17,student,2.0,27249
25.0,4,13685,Bottle Rocket,26.0,889492562,True,663,11,other,3.0,19341
35.0,0,9772,Air Force One,42.0,879693770,False,390,21,writer,5.0,85016
18.0,0,33542,Rumble in the Bronx,24.0,892791017,True,472,17,student,5.0,87544
18.0,4,621,Grease,22.0,879994749,False,711,17,student,5.0,15203
35.0,12,11113,My Fair Lady,40.0,887839745,False,504,21,writer,4.0,92115
25.0,0,9804,Waterworld,27.0,879375562,False,62,2,administrator,1.0,97214
18.0,7,2054,Mr. Holland's Opus,20.0,879525799,False,165,11,other,5.0,53715
25.0,7,3083,Mr. Smith Goes to Washington,27.0,878438206,True,823,1,artist,5.0,50322
18.0,19,12160,Wyatt Earp,18.0,886131332,False,642,17,student,1.0,95521
35.0,0,9208,Broken Arrow,43.0,885062601,True,513,2,administrator,4.0,26241
25.0,4,105,Back to the Future,26.0,882826048,True,178,11,other,4.0,49512
25.0,4,788,Mrs. Doubtfire,29.0,880579237,True,109,11,other,4.0,55423
18.0,7,62,2001: A Space Odyssey,22.0,885545333,False,405,4,healthcare,5.0,10019
35.0,5,769,GoodFellas,39.0,887736232,True,210,18,engineer,5.0,03060
35.0,4,10218,Swingers,36.0,886029974,True,537,18,engineer,3.0,22902
18.0,7,9390,Jerry Maguire,21.0,875962280,True,715,18,technician,4.0,91206
25.0,0,197,Braveheart,25.0,883710236,True,727,17,student,4.0,78741
25.0,4,9571,Dazed and Confused,25.0,892784166,True,551,12,programmer,5.0,55414
25.0,0,562,Die Hard,33.0,875636141,False,5,11,other,3.0,15213
18.0,15,9271,Virtuosity,20.0,888636373,True,532,17,student,4.0,92705
45.0,3,601,E.T. the Extra-Terrestrial,48.0,891656237,True,329,0,educator,4.0,01720
25.0,7,524,Casino,29.0,889124374,True,193,17,student,4.0,49931
25.0,0,415,Batman & Robin,25.0,877636476,True,162,1,artist,3.0,15610
18.0,7,595,To Kill a Mockingbird,19.0,874868304,True,291,17,student,4.0,44106
25.0,4,16448,Waiting for Guffman,26.0,881954219,True,498,21,writer,3.0,55408
35.0,7,1585,It's a Wonderful Life,36.0,880474455,False,577,17,student,5.0,77845
25.0,0,1637,Speed,34.0,888451908,True,600,12,programmer,4.0,02320
18.0,0,10336,Spawn,24.0,876464800,False,875,17,student,3.0,35802
25.0,4,621,Grease,30.0,881108982,True,42,2,administrator,2.0,17870
25.0,4,114,Pretty Woman,31.0,880572689,True,95,2,administrator,3.0,10707
18.0,0,664,Twister,18.0,889987825,False,620,21,writer,4.0,81648
45.0,3,601,E.T. the Extra-Terrestrial,49.0,888204465,True,59,0,educator,5.0,08403
45.0,0,1701,Con Air,47.0,879896920,True,894,0,educator,3.0,74075
50.0,7,279,Amadeus,53.0,877888613,True,10,9,lawyer,5.0,90703
50.0,7,4584,Sense and Sensibility,50.0,891920166,False,909,0,educator,5.0,53171
25.0,10,6217,Cat People,27.0,880845522,True,916,18,engineer,3.0,N2L5N
25.0,1,294272,Pete's Dragon,28.0,885690379,True,826,1,artist,3.0,77048
56.0,7,9294,Phenomenon,64.0,891395547,True,423,11,other,2.0,91606
45.0,0,1892,Return of the Jedi,49.0,879455710,False,15,0,educator,5.0,97301
35.0,7,10357,Volcano,35.0,882150192,False,256,11,none,5.0,39042
45.0,0,8413,Event Horizon,48.0,891293304,True,488,18,technician,2.0,21012
